https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APE,Volume USD
1650628800000,2022-04-22 12:00:00,APE/USD,14.507,14.581,14.292,14.332,2691.901494,38580.332212008005
1650625200000,2022-04-22 11:00:00,APE/USD,14.302,14.589,14.283,14.507,3296.293358,47819.327744505994
1650621600000,2022-04-22 10:00:00,APE/USD,14.159,14.324,13.987,14.302,1933.131276,27647.643509352
1650618000000,2022-04-22 09:00:00,APE/USD,14.215,14.351,14.099,14.159,4733.542302,67022.225454018
1650614400000,2022-04-22 08:00:00,APE/USD,14.182,14.259,14.057,14.215,559.467937,7952.836724455
1650610800000,2022-04-22 07:00:00,APE/USD,14.213,14.334,13.951,14.182,4379.50114,62110.08516748001
1650607200000,2022-04-22 06:00:00,APE/USD,14.2,14.352,14.138,14.213,1689.989465,24019.820266045
1650603600000,2022-04-22 05:00:00,APE/USD,13.99,14.277,13.957,14.2,8473.276639,120320.5282738
1650600000000,2022-04-22 04:00:00,APE/USD,13.837,14.079,13.837,13.99,4236.417263,59267.47750937001
1650596400000,2022-04-22 03:00:00,APE/USD,14.242,14.253,13.731,13.837,10248.353123,141806.462162951
1650592800000,2022-04-22 02:00:00,APE/USD,14.296,14.434,14.193,14.242,1595.030058,22716.418086036003
1650589200000,2022-04-22 01:00:00,APE/USD,14.477,14.668,14.119,14.296,5953.985176,85118.172076096
1650585600000,2022-04-22 00:00:00,APE/USD,14.315,14.568,14.211,14.477,2971.539494,43018.977254638005
1650582000000,2022-04-21 23:00:00,APE/USD,14.343,14.367,14.07,14.315,7811.257737,111818.15450515499
1650578400000,2022-04-21 22:00:00,APE/USD,14.427,14.689,14.102,14.343,5855.423286,83984.336191098
1650574800000,2022-04-21 21:00:00,APE/USD,14.564,14.722,14.427,14.427,44810.392385,646479.530938395
1650571200000,2022-04-21 20:00:00,APE/USD,14.77,14.95,14.282,14.564,22233.732242,323812.076372488
1650567600000,2022-04-21 19:00:00,APE/USD,15.117,15.155,14.761,14.77,11061.225604,163374.30217108
1650564000000,2022-04-21 18:00:00,APE/USD,15.25,15.311,14.974,15.117,5762.835975,87116.791434075
1650560400000,2022-04-21 17:00:00,APE/USD,14.991,15.545,14.991,15.25,8359.466932,127481.870713
1650556800000,2022-04-21 16:00:00,APE/USD,15.062,15.127,14.702,14.991,6568.150559,98463.14502996899
1650553200000,2022-04-21 15:00:00,APE/USD,15.088,15.223,14.88,15.062,2740.906089,41283.527512518
1650549600000,2022-04-21 14:00:00,APE/USD,15.223,15.257,14.814,15.088,10363.4449,156363.6566512
1650546000000,2022-04-21 13:00:00,APE/USD,15.463,15.669,15.154,15.223,4873.777095,74193.508717185
1650542400000,2022-04-21 12:00:00,APE/USD,15.392,15.545,15.213,15.463,3820.728296,59079.92164104799
1650538800000,2022-04-21 11:00:00,APE/USD,15.45,15.722,15.307,15.392,7288.929418,112191.201601856
1650535200000,2022-04-21 10:00:00,APE/USD,15.22,15.715,15.16,15.45,4583.560349,70816.00739205
