https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1649192400000,2022-04-05 21:00:00,BTCG/USD,45816.4,45982.45,45722.89,45972.46,0.23320334,10720.9312200164
1649188800000,2022-04-05 20:00:00,BTCG/USD,45743.03,46055.0,45628.16,45816.4,0.38230384,17515.785654976
1649185200000,2022-04-05 19:00:00,BTCG/USD,46042.83,46042.83,45575.62,45743.03,0.11310369,5173.7054847807
1649181600000,2022-04-05 18:00:00,BTCG/USD,46042.83,46042.83,46042.83,46042.83,0.0,0.0
1649178000000,2022-04-05 17:00:00,BTCG/USD,45843.63,46052.86,45843.63,46042.83,0.21305503,9809.656526934901
1649174400000,2022-04-05 16:00:00,BTCG/USD,45799.48,45962.58,45799.48,45843.63,0.04164001,1908.9292116363
1649170800000,2022-04-05 15:00:00,BTCG/USD,45823.42,45862.08,45715.34,45799.48,3.80560711,174294.82672230282
1649167200000,2022-04-05 14:00:00,BTCG/USD,46478.71,46478.71,45802.8,45823.42,2.18712051,100221.34172034421
1649163600000,2022-04-05 13:00:00,BTCG/USD,46841.3,46841.3,46451.27,46478.71,0.66077767,30712.093698405697
1649160000000,2022-04-05 12:00:00,BTCG/USD,46654.68,47144.13,46654.68,46841.3,0.00257087,120.422892931
1649156400000,2022-04-05 11:00:00,BTCG/USD,46689.89,46690.75,46654.68,46654.68,0.06255714,2918.5833484152
1649152800000,2022-04-05 10:00:00,BTCG/USD,46689.81,46689.89,46689.81,46689.89,0.02099381,980.1986795809
1649149200000,2022-04-05 09:00:00,BTCG/USD,46587.56,46690.45,46587.56,46689.81,0.04550352,2124.5507031312
1649145600000,2022-04-05 08:00:00,BTCG/USD,46733.1,46733.1,46587.56,46587.56,0.00079719,37.1391369564
1649142000000,2022-04-05 07:00:00,BTCG/USD,46584.58,46746.19,46584.58,46733.1,0.08051368,3762.653858808
1649138400000,2022-04-05 06:00:00,BTCG/USD,46824.71,46824.71,46584.58,46584.58,0.00274796,128.0125624568
1649134800000,2022-04-05 05:00:00,BTCG/USD,46853.0,46853.0,46824.71,46824.71,0.0061136,286.267547056
1649131200000,2022-04-05 04:00:00,BTCG/USD,46599.95,46855.1,46599.95,46853.0,4.35705921,204141.29516613
1649127600000,2022-04-05 03:00:00,BTCG/USD,46662.13,46727.04,46599.94,46599.95,0.43180185,20121.9446199075
1649124000000,2022-04-05 02:00:00,BTCG/USD,46628.29,46712.17,46620.0,46662.13,0.52656065,24570.4415031845
1649120400000,2022-04-05 01:00:00,BTCG/USD,46543.7,46643.8,46504.86,46628.29,0.15644523,7294.7735535567
1649116800000,2022-04-05 00:00:00,BTCG/USD,46743.18,46743.18,46488.71,46543.7,0.06572628,3059.1442584359997
1649113200000,2022-04-04 23:00:00,BTCG/USD,46648.18,46876.2,46648.18,46743.18,0.42810205,20010.851181519
1649109600000,2022-04-04 22:00:00,BTCG/USD,46463.74,46648.18,46373.78,46648.18,0.00065181,30.405750205799997
1649106000000,2022-04-04 21:00:00,BTCG/USD,46276.19,46534.61,46236.12,46463.74,0.17607299,8181.009628382601
1649102400000,2022-04-04 20:00:00,BTCG/USD,45891.64,46276.19,45891.64,46276.19,0.21906988,10137.7193901572
1649098800000,2022-04-04 19:00:00,BTCG/USD,45486.42,45900.17,45486.42,45891.64,0.00410734,188.49256863760002
1649095200000,2022-04-04 18:00:00,BTCG/USD,45291.61,45486.42,45177.01,45486.42,0.84635173,38497.5102585066
1649091600000,2022-04-04 17:00:00,BTCG/USD,45759.13,45759.13,45291.61,45291.61,1.13735092,51512.4543017812
1649088000000,2022-04-04 16:00:00,BTCG/USD,45681.11,45782.42,45633.84,45759.13,0.33700407,15421.0130496591
