unix,date,symbol,open,high,low,close,Volume XRP,Volume USD,just_date
1651565820,2022-05-03 08:17:00,XRP/USD,0.61986,0.61986,0.61986,0.61986,0.0,0.0,2022-05-03
1651565760,2022-05-03 08:16:00,XRP/USD,0.61986,0.61986,0.61986,0.61986,40.55,25.135323,2022-05-03
1651565700,2022-05-03 08:15:00,XRP/USD,0.61903,0.61903,0.61903,0.61903,0.0,0.0,2022-05-03
1651565640,2022-05-03 08:14:00,XRP/USD,0.61903,0.61903,0.61903,0.61903,2087.37452565,1292.1474526131194,2022-05-03
1651565580,2022-05-03 08:13:00,XRP/USD,0.61923,0.61923,0.61923,0.61923,421.49850813,261.00452118933987,2022-05-03
1651565520,2022-05-03 08:12:00,XRP/USD,0.61951,0.61951,0.61944,0.61944,6372.77376234,3947.5509793438896,2022-05-03
1651565460,2022-05-03 08:11:00,XRP/USD,0.62004,0.62018,0.62004,0.62018,484.44796023,300.4449359754413,2022-05-03
1651565400,2022-05-03 08:10:00,XRP/USD,0.61934,0.61934,0.61932,0.61932,10220.24617658,6329.602862079525,2022-05-03
1651565340,2022-05-03 08:09:00,XRP/USD,0.61935,0.61935,0.61913,0.61913,30758.57898416,19043.55900646298,2022-05-03
1651565280,2022-05-03 08:08:00,XRP/USD,0.6195,0.6195,0.6195,0.6195,0.0,0.0,2022-05-03
1651565220,2022-05-03 08:07:00,XRP/USD,0.61952,0.61952,0.6195,0.6195,5666.96686505,3510.685972898475,2022-05-03
1651565160,2022-05-03 08:06:00,XRP/USD,0.61896,0.61896,0.61896,0.61896,0.0,0.0,2022-05-03
1651565100,2022-05-03 08:05:00,XRP/USD,0.61896,0.61896,0.61896,0.61896,0.0,0.0,2022-05-03
1651565040,2022-05-03 08:04:00,XRP/USD,0.61948,0.61948,0.61896,0.61896,2247.17442213,1390.911080321585,2022-05-03
1651564980,2022-05-03 08:03:00,XRP/USD,0.61989,0.61989,0.61989,0.61989,965.02242333,598.2077499980338,2022-05-03
1651564920,2022-05-03 08:02:00,XRP/USD,0.619,0.619,0.619,0.619,0.0,0.0,2022-05-03
1651564860,2022-05-03 08:01:00,XRP/USD,0.61928,0.61928,0.619,0.619,15645.13038247,9684.33570674893,2022-05-03
1651564800,2022-05-03 08:00:00,XRP/USD,0.6198,0.6198,0.61933,0.61933,30968.04753924,19179.44088247751,2022-05-03
1651564740,2022-05-03 07:59:00,XRP/USD,0.6193,0.6193,0.6193,0.6193,0.0,0.0,2022-05-03
1651564680,2022-05-03 07:58:00,XRP/USD,0.6193,0.6193,0.6193,0.6193,573.05118682,354.890599997626,2022-05-03
1651564620,2022-05-03 07:57:00,XRP/USD,0.61916,0.61916,0.61916,0.61916,7882.24414907,4880.370287338182,2022-05-03
1651564560,2022-05-03 07:56:00,XRP/USD,0.61894,0.61923,0.61894,0.61916,14999.63390454,9287.173328334988,2022-05-03
