unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,just_date
1651250280,2022-04-29 16:38:00,BTC/USD,38908.06,38918.15,38886.5,38898.28,0.14285,5556.619298,2022-04-29
1651250220,2022-04-29 16:37:00,BTC/USD,38945.19,38945.19,38888.0,38920.66,0.01718,668.6569388000001,2022-04-29
1651250160,2022-04-29 16:36:00,BTC/USD,38991.07,38994.73,38931.95,38931.95,0.14836,5775.944102,2022-04-29
1651250100,2022-04-29 16:35:00,BTC/USD,39039.85,39041.02,38994.35,39013.32,0.10962315,4276.763030358,2022-04-29
1651250040,2022-04-29 16:34:00,BTC/USD,38976.42,39070.64,38976.42,39043.43,0.98468618,38445.5259407974,2022-04-29
1651249980,2022-04-29 16:33:00,BTC/USD,38951.87,38979.08,38913.59,38969.98,0.74010892,28842.0298102216,2022-04-29
1651249920,2022-04-29 16:32:00,BTC/USD,38921.8,38937.92,38903.63,38937.92,0.19966,7774.3451072,2022-04-29
1651249860,2022-04-29 16:31:00,BTC/USD,38944.26,38945.05,38903.45,38937.36,1.03860767,40440.6407455512,2022-04-29
1651249800,2022-04-29 16:30:00,BTC/USD,38956.77,38999.96,38940.17,38940.46,7.07798957,275620.1697310022,2022-04-29
1651249740,2022-04-29 16:29:00,BTC/USD,38945.85,38997.54,38943.08,38964.89,0.72558834,28272.4698533826,2022-04-29
1651249680,2022-04-29 16:28:00,BTC/USD,38910.47,38946.96,38903.58,38945.04,0.68255531,26582.143850162403,2022-04-29
1651249620,2022-04-29 16:27:00,BTC/USD,38918.94,38945.2,38893.04,38927.34,0.93455024,36379.5549395616,2022-04-29
1651249560,2022-04-29 16:26:00,BTC/USD,38946.73,38956.69,38911.32,38914.35,0.7768,30228.66708,2022-04-29
1651249500,2022-04-29 16:25:00,BTC/USD,38983.93,39019.69,38977.97,38981.9,1.50939819,58839.209302761,2022-04-29
1651249440,2022-04-29 16:24:00,BTC/USD,38944.63,38995.39,38931.97,38972.26,0.43104,16798.6029504,2022-04-29
1651249380,2022-04-29 16:23:00,BTC/USD,38916.1,38951.99,38907.56,38951.99,0.47288515,18419.8176339485,2022-04-29
1651249320,2022-04-29 16:22:00,BTC/USD,38911.23,38930.53,38902.15,38918.86,0.54342,21149.2869012,2022-04-29
1651249260,2022-04-29 16:21:00,BTC/USD,38909.49,38940.79,38909.49,38911.23,0.76866775,29909.8076138325,2022-04-29
